# Каталог слайдов со страницы «Обложка» файла «Библиотека» (node 855:401), снято 2026-08-07
# файл	макет	тема	качество	комментарий
44__855-1329.png	title-bullets	light	clean	сетка 4×3 буллетов внутри карточки
45__855-1418.png	intro	blue	clean	слева вывод, справа стопка карточек Smart/Simple
46__855-402.png	numbered-cards-3	dark	clean	три карточки с номерами 1/2/3
47__855-507.png	photo	light	clean	две карточки текста и крупный мокап телефона
48__855-532.png	intro	light	clean	слева заголовок и вывод, справа карточки 1/2
49__855-572.png	other	light	clean	карточки проблем 3/4 плюс тёмная карточка следствий
4__855-2787.png	other	light	clean	зелёная карточка-вывод и карточка со статистикой
50__855-615.png	intro	light	clean	слева вопрос и вывод, справа белая и синяя карточки
51__855-641.png	photo	light	clean	текст слева, крупное фото людей справа
52__855-1167.png	numbered-cards-3	dark	clean	три карточки с номерами 1/2/3
53__855-1198.png	benefits-grid	dark	clean	три фиолетовые карточки с мокапами продукта
54__855-1668.png	cover	blue	clean	титул раздела с кнопкой Learn more
55__855-2014.png	photo	light	clean	текст слева, крупный мокап ноутбука справа
56__855-2041.png	photo	light	clean	дубль Brand Essence с мокапом телефона
57__855-2066.png	intro	light	clean	дубль слайда 48: заголовок плюс карточки 1/2
58__855-2106.png	other	light	clean	дубль слайда 49: карточки 3/4 и следствия
59__855-2149.png	intro	light	clean	дубль слайда 50: вопрос плюс две карточки
5__855-2814.png	benefits-grid	light	clean	пять карточек с чек-иконками 2+3
60__855-2175.png	photo	light	clean	мокап ноутбука с пилюлями принципов
61__855-2213.png	title-bullets	light	clean	тумблер Simplicity, три колонки буллетов
62__855-2250.png	title-bullets	light	clean	тумблер Transparency, три колонки буллетов
63__855-2289.png	title-bullets	light	clean	тумблер Innovation, три колонки буллетов
64__855-2323.png	title-bullets	light	clean	тумблер Personalisation, три колонки буллетов
65__855-2361.png	title-bullets	light	clean	тумблер Warmth, три колонки буллетов
66__855-2398.png	numbered-cards-3	dark	clean	три карточки 1/2/3, третья акцентно-синяя
67__855-2429.png	benefits-grid	dark	clean	три фиолетовые карточки с мокапами продукта
68__855-2454.png	statement	blue	clean	заголовок сверху, крупный вывод внизу
69__855-2474.png	other	blue	clean	две крупные карточки Vision и Mission
6__855-2879.png	benefits-grid	dark	clean	сетка 2×2 плюс широкая нижняя карточка
70__855-2494.png	table	dark	clean	сетка 4×2 ролей с цитатами
71__855-2547.png	benefits-grid	dark	clean	облако тегов и две карточки черт
72__855-2584.png	benefits-grid	dark	clean	четыре карточки черт с бейджами
73__855-2613.png	table	light	clean	сетка 3×4 преимуществ с разделителями
74__855-2646.png	title-bullets	light	clean	сетка буллетов слева, фото с чатом
75__855-2720.png	intro	blue	clean	текст слева, стопка карточек справа
76__855-2742.png	cover	blue	clean	логотип и слоган, минимум контента
7__855-2934.png	numbered-cards-3	dark	clean	три карточки с бейджами вместо номеров
895__855-5017.png	title-bullets	light	clean	буллеты слева, крупный мокап ноутбука справа
896__855-5066.png	benefits-grid	light	clean	бенто-сетка карточек вокруг тёмного фото
897__855-5100.png	other	dark	clean	четыре KPI-цифры, фото, полоса логотипов
898__855-5190.png	photo	dark	clean	три фотографии команды и абзац текста
899__855-5209.png	numbered-cards-3	dark	clean	карточки Shipped/Now/Next плюс вывод внизу
8__855-3310.png	pain-solution	light	clean	белая карточка и синяя карточка решения
900__855-5293.png	benefits-grid	light	clean	четыре пресс-карточки со цитатами в ряд
901__855-5372.png	other	dark	clean	карта мира с рынками и подписями
902__855-5594.png	photo	dark	clean	буллеты слева, крупное фото со слоганом
903__855-5649.png	statement	dark	clean	крупная фраза на тёмно-синем градиенте
904__855-5661.png	final	dark	clean	контакты и CTA поверх фото команды
910__855-2860.png	intro	light	clean	лид слева, три карточки с процентами
914__855-3343.png	pain-solution	light	clean	белая карточка с чеками, тёмная с крестиками
915__855-2973.png	other	dark	clean	одна карточка проблем с крестиком плюс фото
916__855-2995.png	title-bullets	light	clean	две карточки с чек-буллетами, мокап калькулятора
917__855-3054.png	title-bullets	light	clean	три карточки-колонки с чек-буллетами
918__855-3115.png	title-bullets	light	clean	фото слева, карточка с чек-буллетами
919__855-3160.png	title-bullets	light	clean	фото слева, карточка с чек-буллетами
920__855-3205.png	title-bullets	light	clean	фото слева, карточка с чек-буллетами
921__855-3254.png	title-bullets	light	clean	заголовок, две карточки чек-листов, фото
922__855-3405.png	final	dark	clean	контакты и слоган на фоне фото
923__855-3426.png	photo	light	clean	слева чек-лист роли, справа мокап интерфейса
924__855-3466.png	cover	dark	clean	ко-брендинг Tumodo и Air Astana, монеты
925__855-3473.png	photo	light	clean	роль «Бухгалтеру», справа мокап финансов
926__855-3554.png	photo	light	clean	роль «Руководителю», справа мокап аналитики
927__855-3594.png	photo	light	clean	роль «Тревел-координатору», мокап тревел-политики
928__855-3634.png	photo	light	clean	заголовок, бейджи ролей, крупный мокап
929__855-3673.png	statement	blue	clean	одна крупная фраза на градиенте
930__855-3682.png	other	light	clean	четыре нумерованных шага вокруг мокапа телефона
931__855-3727.png	other	dark	clean	пять нумерованных карточек шагов, мокап телефона
932__855-3770.png	statement	blue	clean	крупный слоган внизу на градиенте
933__855-3781.png	table	light	clean	сравнительная таблица, колонка Tumodo синяя
934__855-3868.png	photo	light	clean	слева текст-карточка, справа мокап ноутбука
935__855-3926.png	pain-solution	dark	clean	контраст: офлайн-агентства против онлайн-сервисов
936__855-3998.png	other	dark	clean	фото-тезис слева, карточка проблем справа
937__855-4039.png	cover	blue	clean	титул с логотипом и слоганом
938__855-4052.png	other	light	clean	две карточки спикеров вебинара с фото
939__855-4512.png	intro	light	clean	слева лид-карточка, справа ключевые показатели
940__855-4540.png	benefits-grid	light	clean	4 карточки услуг 2×2, мокап ноутбука
941__855-4606.png	benefits-grid	light	clean	две стат-карточки и четыре преимущества
942__855-4686.png	section-divider	blue	clean	название раздела на синем фоне
943__855-4703.png	chart	dark	clean	орг-схема: CEO и топ-менеджмент
944__855-4761.png	other	dark	clean	тёмные карточки со списками команд
945__855-4850.png	section-divider	blue	clean	название раздела на синем фоне
946__855-4867.png	chart	light	clean	диаграмма-восьмёрка процесса продаж
947__855-4898.png	section-divider	blue	clean	название раздела на синем фоне
948__855-4915.png	chart	dark	clean	горизонтальный таймлайн процесса с карточками
949__855-4971.png	chart	light	clean	таймлайн онбординга с вехами
950__855-5001.png	cover	blue	clean	логотип и слоган на синем фоне
